name	type	start_time	duration	data	error	text
Async Serial	data	8.6392334	0.0000824	0x01	framing	
Async Serial [1]	data	8.6392334	0.0000824	0x01	framing	
Async Serial	data	8.6403528	0.0000824	0x00	framing	
Async Serial [1]	data	8.6403532	0.0000824	0x00	framing	
Async Serial [1]	data	8.6821436	0.0000824	0x20	framing	
Async Serial	data	8.6821438	0.0000824	0x02	framing	
Async Serial	data	8.6822372	0.0000824	0x00	framing	
Async Serial [1]	data	8.6822372	0.0000824	0x00	framing	
Async Serial [1]	data	9.728779	0.0000824	0xF8		
Async Serial [1]	data	9.7786008	0.0000824	0xFE		
philips_uart [1]	packet	9.7786008	0.0007748			[MCU->module] QUERY(0x0004)  GROUP=08  |  LEN=2  |  DATA=08 00  |  CRC=94 A6
Async Serial [1]	data	9.7786874	0.0000824	0xFF		
Async Serial [1]	data	9.7787738	0.0000824	0x04		
Async Serial [1]	data	9.7788604	0.0000824	0x00		
Async Serial [1]	data	9.778947	0.0000824	0x02		
Async Serial [1]	data	9.7790336	0.0000824	0x08		
Async Serial [1]	data	9.77912	0.0000824	0x00		
Async Serial [1]	data	9.7792066	0.0000824	0x94		
Async Serial [1]	data	9.7792932	0.0000824	0xA6		
Async Serial	data	9.7968698	0.0000824	0xFE		
philips_uart	packet	9.7968698	0.0032878			[module->MCU] STATUS(0x0007)  |  LEN=31  |  DATA=00 08 01 02 00 00 02 01 00 03 73 06 30 2E 33 2E 33 00 04 02 00 00 05 02 00 00 07 02 00 00 00  |  CRC=E1 1A
Async Serial	data	9.7969564	0.0000824	0xFF		
